laplasotuvi	Lập lá số tử vi
lasotuvi	Lập lá số tử vi
exit	Thoát
tuvi_app_title	Tử Vi
alert	Thông báo!
title	Tiêu đề
yourNoteHere	Viết ghi chú vào đây
createChart	Lập lá số mới
duongSo	Đương số
ngaySinh	Ngày sinh
tiepTheo	Tiếp theo
tenDuongSo	Tên đương số
waiting	Đang chờ
processing	Đang xử lý
watchCommentary	Xem luận giải
request	Yêu cầu luận giải
stars	Sao
books	Sách
tags	Nhãn
notes	Ghi chú
library	Thư viện
storagePlanMarket	Gói lưu trữ
energyMarket	Mua điểm năng lượng
search	Tìm kiếm
charts	Lá số
commentary	Luận giải
commentaries	Luận giải
tatCa	Tất cả
signIn	Đăng nhập
signOut	Đăng xuất
noTitle	Không tiêu đề
noName	Không tên
sortOption	Sắp xếp theo
sortByNameAsc	Tên A -> Z
sortByNameDesc	Tên Z => A
sortByLastViewAsc	Đã xem cũ nhất
sortByLastViewDesc	Đã xem gần nhất
sortByCreatedAsc	Đã tạo cũ nhất
sortByCreatedDesc	Đã tạo gần nhất
sortByEditedAsc	Đã chỉnh sửa cũ nhất
sortByEditedDesc	Đã chỉnh sửa gần nhất
sortByTitleAsc	Tiêu đề A -> Z
sortByTitleDesc	Tiêu đề Z -> A
sortByChartNameAsc	Tên đương số A -> Z
sortByChartNameDesc	Tên đương số Z -> A
sortByBirthdayAsc	Đương số trẻ -> già
sortByBirthdayDesc	Đương số già -> trẻ
storagePlan	Gói lưu trữ
day	ngày
tuoi	tuổi
home	Trang chủ
showAllNotes	Xem tất cả ghi chú
contacts	Liên hệ
answers	Trả lời
settings	Cài đặt
sign_out	Đăng xuất
history	Lịch sử
profile	Trang cá nhân
upload_to_cloud	Tải lên đám mây
download	Tải xuống
delete_from_local	Xóa trên thiết bị
delete_from_cloud	Xóa trên cloud
changeInfo	Sửa thông tin
addChart	Thêm lá số
addNote	Thêm ghi chú
addTag	Thêm nhãn
createTag	Tạo nhãn
createNewTag	Tạo nhãn mới
sendCommentaryRequest	Gửi yêu cầu luận giải
watchChartDetail	Xem lá số
namXem	Năm xem
watchingYear	Năm xem
yearsOldSuffix	t
ngay	Ngày
thang	Tháng
gio	Giờ
duongLich	Dương lịch
amLich	Âm lịch
thanCu	Thân cư
menhChu	Mệnh chủ
thanChu	Thân chủ
amNam	Âm nam
duongNam	Dương nam
amNu	Âm nữ
duongNu	Dương nữ
female	Nữ
male	Nam
menh	Mệnh
cancel	Hủy
no	Không
laSo	Lá số
chart	Lá số
tag	Nhãn
note	Ghi chú
phuMau	Phụ Mẫu
phucDuc	Phúc Đức
dienTrach	Điền Trạch
quanLoc	Quan Lộc
noBoc	Nô Bộc
thienDi	Thiên Di
tatAch	Tật Ách
taiBach	Tài Bạch
tuTuc	Tử Tức
phoi	Phối
phuThe	Phối
huynhDe	Huynh Đệ
than	Thân
tuVi	Tử Vi
liemTrinh	Liêm Trinh
thienDong	Thiên Đồng
vuKhuc	Vũ Khúc
thaiDuong	Thái Dương
thienCo	Thiên Cơ
thienPhu	Thiên Phủ
thaiAm	Thái Âm
thamLang	Tham Lang
cuMon	Cự Môn
